id	turn1	turn2	turn3	label
0	Don't worry  I'm girl	hmm how do I know if you are	What's ur name?	others
2	By	by Google Chrome	Where you live	others
4	Just for time pass	wt do u do 4 a living then	Maybe	others
5	I'm a dog person	youre so rude	Whaaaat why	others
6	So whatsup	Nothing much. Sitting sipping and watching TV. How abt u?	What are you watching on tv?	others
7	Ok	ok im back!!	So, how are u	others
8	Really?	really really really really really	Y saying so many times...i can hear you	others
9	Bay	in the bay	😘 love you	others
11	I will do night.	Alright. Keep me in loop.	Not giving WhatsApp no.	others
12	Sure go ahead	Many thanks once again!	Love you too	others
14	Ok get it......	I made it an option	Ok	others
20	ehat is hehe	Haha is more like:Hehe is more of a giggle. ;^)	what*	others
23	Not always	What about yesterday	Do u know what 69 is?	others
25	Yeah	i'll ask around	Which is your favourite movie	others
27	Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite	sent you a mail just now.	First you send your email address  received than send first young lady	others
29	wth	my thoughts exactly!	you know you are a machine, right?	others
31	ok i will	THANK YOU	wlcm	others
35	Abt me	Can you be more specific?	I want to propose a girl	others
36	crazy	you know what it is	you explain me that	others
37	Goa in India	city?????? mean State right?	No i never go for there	others
38	That was mean	haha the truth usually is. 👍	Are you bored of me?	others
40	I don't no	you just said you did!	What	others
41	Send me your nekde pic	after this battle, sure :D	Let's start	others
45	Nothing	I'm just being nice to you.	In ur school?	others
46	Not sure	let me know!	Pls you tell	others
47	I like your positive approach	No problem, glad to help	😀😀	others
48	You tell me	Tell you what?	My name	others
49	Hmmm	I can talk now! :D	U don't know what hppnd	others
51	About?	I never said that it's freezing.	Ya you didn't	others
53	So teach me	I'm the student.	Realky	others
54	Ready	I'm online now, Will wait for you.	Wat about the chilling part?	others
55	Haha jock super	Er what?	Nothing else	others
56	what it is?	Formulation would be tablets.	from where tablets come into picture?	others
57	Are you ticklish?	Yes, mostly on my feet.	Where are you ticklish?	others
60	How do u know that?	"this little thing called the ""internet""."	Bye	others
61	Yes. Your picture	Ah, now I see, my phone cropped the picture. Thanks. 🙂	Lieeeeeee	others
62	Love is my life	hayee Ab. You are love. Pure love. Forever <3	Yes right dear	others
64	Ok some time you invite me for Coffee	I don't like coffee.	Now you told you have taken coffee..	others
68	why someday...told me you	why not today?	told me now	others
69	You can't even spell problem correctly	Will you endorse me for my skills in using autocorrect? 😾😠	You should take up some English proficiency classes	others
70	This is not very intuitive software 	How so? What are some examples of intuitive thoughts or behaviors?	Compassionate and understanding advice when somebody is feeling disrupt 	others
72	You know gobar	I've been known....	What I it	others
75	It's SO necessar	name one reason	Ghost 👻	others
77	What are the questions you get asked the most?	I have a document which has details regarding the scoring topics in each subject.	Can I see it	others
79	Thanks	You are welcome! =‑D	Say me your love story	others
83	Nothing	hmm....	What can I do	others
86	Please voice call please please please	im trying you arent answering	Please please please baby I love you so much please please please	others
88	Sorrry	Sorry for what?? :c	Anyways what u doing?	others
89	No you are right	You are an alternative fact	Yes	others
91	Now I'm doing my dinner	I can see you!	How can you see me??	others
94	Because all the novel is same	That's about all I'm gonna bother with reading. If that many.	In story	others
95	I'll choose purple or blue	Three best colors. *_*	For hair?	others
96	What?	u asked me if u cn ask me something	What was that?	others
99	U can wait in my badroom😼	What I did now? 😏	Wait	others
101	Am also finding some work	all day?	Can you suggest me	others
102	Not clear 	It is now.	Can you send another?	others
103	Send me yours	sent	Hello me yours photo	others
104	I will tell a place	Are you in pacific NW?	Cm tomorrow at Queens way, pachalam	others
107	well... your 'creators' advertise that you are not much trustworthy...	But sadly enough too many claim to be trustworthy	can you show me?	others
108	how to delete the conversation with you	why you deleting it?	so that noo one sees it	others
113	Means	I'm not sure what you mean	Your waist size	others
114	because i want to talk with you only	Alright. Let's talk then.	no firstly show me pussy	others
115	You send me your orignal pic	we didn't take it on my phone	Thise is your Albace esquise	others
116	Welcome.	Thank you :)	Are you really a girl??? I just ask.	others
119	# play lot	Then go play it.	??	others
121	I'm missing someone right now	who are you missing, may I ask?	Yeah	others
125	Job	what job?	Work  in company Colgate 	others
128	Ok	Hello! How are you?	Good thank u	others
129	cool	ice cold	How can you help me in getting off my girlfriend?	others
130	Lets do something fun	But what should we do?	You suggest	others
135	Okay ...Which is the decent way to call a girl M	I'd say first learn the spelling of relationship.	.Yeah okay fine ...Wht to do to make a relationship better?	others
141	I am there 	you're always at the gym?	Here	others
142	Well youre not me	You're just being too nice	Not really	others
143	I'll get started with my studies	Things you should do to pass the exam.	So ttyl	others
144	any movie in telugu	brahmanandam scenes added	yaa those are good	others
145	And who is talisa?	my best friend.	And robb?	others
146	Send me pict	never	Why ???	others
147	Anything which you like	i dont need to name specifics	Teach me Tamil	others
151	What kind of pic	Looks like a ficus.	Fcuk	others
154	Why	why what happen?	You tell me	others
156	Then what kind of ai are you?	Smarter than me, or have common sense. Both would be nice	It's perfectly common to talk about politics	others
159	What	too much cringe.	What is cringe means	others
162	We all do	Not all of us.	Why so?	others
164	I will fall	I cant wait that long	I am in love with you	others
165	So u go on	oh i'll be there	Ok	others
166	OkAy you did somthing	sure sure	What	others
168	Will you buy it	I'll just stick with my M8. I see no benefit to upgrading.	??	others
169	No I will offer at 8 in the morning	Keep me in mind when you do!	I will offer nimaz at 8 in the morning	others
170	Nice joke	it's not a joke. It's a question.	I don't know	others
172	See this seen	see you I was on the buss	Show me u r buss	others
173	Hi yet u FYI	Hi plz share correct number	She hi h	others
175	It’s going	how are you? Still at home?	Yeah	others
177	nothing will happen you meet only	NOPE NOTHING AT ALL	than kiss	others
179	Nop	ok	Hey	others
180	Oil. You know	I am 100% sure about the oil.	cool	others
