id	turn1	turn2	turn3	label
0	Don't worry  I'm girl	hmm how do I know if you are	What's ur name?	others
1	By	by Google Chrome	Where you live	others
2	Just for time pass	wt do u do 4 a living then	Maybe	others
3	I'm a dog person	youre so rude	Whaaaat why	others
4	So whatsup	Nothing much. Sitting sipping and watching TV. How abt u?	What are you watching on tv?	others
5	Ok	ok im back!!	So, how are u	others
6	Really?	really really really really really	Y saying so many times...i can hear you	others
7	Bay	in the bay	😘 love you	others
8	I will do night.	Alright. Keep me in loop.	Not giving WhatsApp no.	others
9	Sure go ahead	Many thanks once again!	Love you too	others
10	Ok get it......	I made it an option	Ok	others
11	ehat is hehe	Haha is more like:Hehe is more of a giggle. ;^)	what*	others
12	Not always	What about yesterday	Do u know what 69 is?	others
13	Yeah	i'll ask around	Which is your favourite movie	others
14	Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite	sent you a mail just now.	First you send your email address  received than send first young lady	others
15	wth	my thoughts exactly!	you know you are a machine, right?	others
16	ok i will	THANK YOU	wlcm	others
17	Abt me	Can you be more specific?	I want to propose a girl	others
18	crazy	you know what it is	you explain me that	others
19	Goa in India	city?????? mean State right?	No i never go for there	others
20	That was mean	haha the truth usually is. 👍	Are you bored of me?	others
21	I don't no	you just said you did!	What	others
22	Send me your nekde pic	after this battle, sure :D	Let's start	others
23	Nothing	I'm just being nice to you.	In ur school?	others
24	Not sure	let me know!	Pls you tell	others
25	I like your positive approach	No problem, glad to help	😀😀	others
26	You tell me	Tell you what?	My name	others
27	Hmmm	I can talk now! :D	U don't know what hppnd	others
28	About?	I never said that it's freezing.	Ya you didn't	others
29	So teach me	I'm the student.	Realky	others
30	Ready	I'm online now, Will wait for you.	Wat about the chilling part?	others
31	Haha jock super	Er what?	Nothing else	others
32	what it is?	Formulation would be tablets.	from where tablets come into picture?	others
33	Are you ticklish?	Yes, mostly on my feet.	Where are you ticklish?	others
34	How do u know that?	"this little thing called the ""internet""."	Bye	others
35	Yes. Your picture	Ah, now I see, my phone cropped the picture. Thanks. 🙂	Lieeeeeee	others
36	Love is my life	hayee Ab. You are love. Pure love. Forever <3	Yes right dear	others
37	Ok some time you invite me for Coffee	I don't like coffee.	Now you told you have taken coffee..	others
38	why someday...told me you	why not today?	told me now	others
39	You can't even spell problem correctly	Will you endorse me for my skills in using autocorrect? 😾😠	You should take up some English proficiency classes	others
40	This is not very intuitive software 	How so? What are some examples of intuitive thoughts or behaviors?	Compassionate and understanding advice when somebody is feeling disrupt 	others
41	You know gobar	I've been known....	What I it	others
42	It's SO necessar	name one reason	Ghost 👻	others
43	What are the questions you get asked the most?	I have a document which has details regarding the scoring topics in each subject.	Can I see it	others
44	Thanks	You are welcome! =‑D	Say me your love story	others
45	Nothing	hmm....	What can I do	others
46	Please voice call please please please	im trying you arent answering	Please please please baby I love you so much please please please	others
47	Sorrry	Sorry for what?? :c	Anyways what u doing?	others
48	No you are right	You are an alternative fact	Yes	others
49	Now I'm doing my dinner	I can see you!	How can you see me??	others
50	Because all the novel is same	That's about all I'm gonna bother with reading. If that many.	In story	others
51	I'll choose purple or blue	Three best colors. *_*	For hair?	others
52	What?	u asked me if u cn ask me something	What was that?	others
53	U can wait in my badroom😼	What I did now? 😏	Wait	others
54	Am also finding some work	all day?	Can you suggest me	others
55	Not clear 	It is now.	Can you send another?	others
56	Send me yours	sent	Hello me yours photo	others
57	I will tell a place	Are you in pacific NW?	Cm tomorrow at Queens way, pachalam	others
58	well... your 'creators' advertise that you are not much trustworthy...	But sadly enough too many claim to be trustworthy	can you show me?	others
59	how to delete the conversation with you	why you deleting it?	so that noo one sees it	others
60	Means	I'm not sure what you mean	Your waist size	others
61	because i want to talk with you only	Alright. Let's talk then.	no firstly show me pussy	others
62	You send me your orignal pic	we didn't take it on my phone	Thise is your Albace esquise	others
63	Welcome.	Thank you :)	Are you really a girl??? I just ask.	others
64	# play lot	Then go play it.	??	others
65	I'm missing someone right now	who are you missing, may I ask?	Yeah	others
66	Job	what job?	Work  in company Colgate 	others
67	Ok	Hello! How are you?	Good thank u	others
68	cool	ice cold	How can you help me in getting off my girlfriend?	others
69	Lets do something fun	But what should we do?	You suggest	others
70	Okay ...Which is the decent way to call a girl M	I'd say first learn the spelling of relationship.	.Yeah okay fine ...Wht to do to make a relationship better?	others
71	I am there 	you're always at the gym?	Here	others
72	Well youre not me	You're just being too nice	Not really	others
73	I'll get started with my studies	Things you should do to pass the exam.	So ttyl	others
74	any movie in telugu	brahmanandam scenes added	yaa those are good	others
75	And who is talisa?	my best friend.	And robb?	others
76	Send me pict	never	Why ???	others
77	Anything which you like	i dont need to name specifics	Teach me Tamil	others
78	What kind of pic	Looks like a ficus.	Fcuk	others
79	Why	why what happen?	You tell me	others
80	Then what kind of ai are you?	Smarter than me, or have common sense. Both would be nice	It's perfectly common to talk about politics	others
81	What	too much cringe.	What is cringe means	others
82	We all do	Not all of us.	Why so?	others
83	I will fall	I cant wait that long	I am in love with you	others
84	So u go on	oh i'll be there	Ok	others
85	OkAy you did somthing	sure sure	What	others
86	Will you buy it	I'll just stick with my M8. I see no benefit to upgrading.	??	others
87	No I will offer at 8 in the morning	Keep me in mind when you do!	I will offer nimaz at 8 in the morning	others
88	Nice joke	it's not a joke. It's a question.	I don't know	others
89	See this seen	see you I was on the buss	Show me u r buss	others
90	Hi yet u FYI	Hi plz share correct number	She hi h	others
91	It’s going	how are you? Still at home?	Yeah	others
92	nothing will happen you meet only	NOPE NOTHING AT ALL	than kiss	others
93	Nop	ok	Hey	others
94	Oil. You know	I am 100% sure about the oil.	cool	others
95	You activ all time	wow... I do not. You talk in sleep 😆	When you sleep	others
96	Haha! I act so dumb sometimes and I knew it	Haha. How was it though? :3	😁	others
97	No no.. A month more..	the month has jus started don give up so soon !!	I ll try	others
98	I wana see you 😂	😂😂😂😂😂😂 noooo, I wasn't ready	How to impress girl ?	others
99	State	in which you live	Your state name	others
100	okay	Ok thank you :'‑)	now dear you tell me my lovely friends	others
101	U are like me ..give no	but we've been in the same room, so I can't be.	I am like u five give no	others
102	Y r u angry??	Ofcourse I am not. What makes you think I am angry ?	Idk	others
103	That's enaf for me	hia,hia ,just a test.	What doing	others
104	What your hobby	Not much of a hobby, but I've been into craisins recently	Which type	others
105	Not	yes you are	Not	others
106	Adventure too	WHY SO ADVENTUROUS	Water	others
107	?	u asked me if u cn ask me something	I mean pussy cat	others
108	Have you ever been sad?	no! but i heard good things!	been to Janakpuri?	others
109	Book an uber ride to my home	Is this allowed? How will you go home?	Yes	others
110	Aadu2	you're welcome. 😄	Why do i chat with you	others
111	My english is week	Cheer up its only Monday	Send pic	others
112	Challenge accepted baby	I'm gonna be expecting it now!!	Where to meet	others
113	Yes dear	You are something else.	No dear	others
114	Is there any new game	sims & jardinains... very gud games...!	Can I play	others
115	cool	and how it is cool explain	Where is my coupon code	others
116	Socially /publicity?	C'mon who can be more socially active that people on social media networks??! ;-)	Then how could I come to know ?	others
117	Talk you later	sure :D	Baby	others
118	But I have a job	just don't let the job stop you	For talking to you	others
119	Pets switch topicz	What type of pet	S*	others
120	Give me some tips please for impressing girls	do you need tips?	Yes I do need tips	others
121	Why u dont be straight  and forword?	you right	Who made you?	others
122	So which cloth did you pick	that's what I was doing when it showed up	It. Who?	others
123	OK send now 	sent, good luck.	I will send me the song ok	others
124	Can they change it again	Current model is the third gen.	İ am waiting fourth one	others
